id,moduleCode,moduleName,description,requiredSkills,hoursPerWeek,positions,deadline,postedByMoId,status
"JOB100027","AI501","Computer Vision","Lab supervision","Python;TensorFlow","7","4","2026-12-14","MO003","OPEN"
"JOB100028","SE401","Agile Practices","Facilitate workshops","Communication;Testing","4","3","2027-03-21","MO006","OPEN"
"JOB100029","CY301","Network Security","Lab supervision","Linux;Python","14","1","2026-07-02","MO004","FILLED"
"JOB100030","SE201","Software Engineering","Support project teams","Java;Testing","15","3","2027-02-13","MO006","OPEN"
"JOB100031","MA101","Calculus I","Tutorial support for first-years","Calculus;Tutor","9","2","2026-10-30","MO002","FILLED"
"JOB100032","MA201","Linear Algebra","Weekly tutorials","Calculus;Statistics","15","3","2027-01-19","MO004","OPEN"
"JOB100033","CC401","Cloud Computing","Support cloud labs","Docker;Linux","7","1","2026-09-20","MO005","FILLED"
"JOB100034","WD201","Full Stack Dev","Support project work","JavaScript;Node.js;React","5","1","2026-12-03","MO001","FILLED"
"JOB100035","IS301","Business Analytics","Support analytics labs","SQL;Data Analysis","6","2","2027-03-02","MO003","OPEN"
"JOB100036","WD201","Full Stack Dev","Support project work","JavaScript;Node.js;React","15","4","2026-09-14","MO001","OPEN"
"JOB100037","IS301","Business Analytics","Support analytics labs","SQL;Data Analysis","11","2","2026-06-29","MO005","OPEN"
"JOB100038","DS401","Data Visualization","Tutorial support","Python;R;Data Analysis","12","4","2026-06-30","MO006","OPEN"
"JOB100039","SE201","Software Engineering","Support project teams","Java;Testing","8","1","2026-12-20","MO006","FILLED"
"JOB100040","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","10","3","2026-06-24","MO006","FILLED"
"JOB100041","CS401","Compiler Design","Assignment support","C;Algorithms","5","4","2026-07-01","MO001","FILLED"
"JOB100042","DB401","NoSQL Databases","Tutorial support","SQL;DB","14","4","2026-08-09","MO003","OPEN"
"JOB100043","DS201","Data Mining","Lab support","Python;Data Analysis;Pandas","10","1","2026-12-11","MO006","OPEN"
"JOB100044","MA201","Linear Algebra","Weekly tutorials","Calculus;Statistics","5","2","2026-11-26","MO005","FILLED"
"JOB100045","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","4","1","2026-09-23","MO003","FILLED"
"JOB100046","MB301","Mobile Computing","Lab supervisor","Kotlin;Swift","10","4","2027-03-06","MO002","FILLED"
"JOB100047","AI501","Computer Vision","Lab supervision","Python;TensorFlow","8","2","2026-08-19","MO006","OPEN"
"JOB100048","MA101","Calculus I","Tutorial support for first-years","Calculus;Tutor","13","1","2027-01-01","MO002","OPEN"
"JOB100049","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","11","1","2026-06-18","MO002","OPEN"
"JOB100050","CS201","Algorithms","Help with assignments and lab","Algorithms;C","12","2","2026-09-28","MO001","OPEN"
"JOB100051","MA201","Linear Algebra","Weekly tutorials","Calculus;Statistics","7","3","2026-10-27","MO005","FILLED"
"JOB100052","SE301","Software Testing","Test design assistance","Testing;JUnit","14","2","2026-08-13","MO004","OPEN"
"JOB100053","SE201","Software Engineering","Support project teams","Java;Testing","13","2","2027-03-13","MO006","OPEN"
"JOB100054","WD101","Web Development","Lab assistant","HTML;JavaScript","9","4","2026-06-25","MO005","FILLED"
"JOB100055","SE301","Software Testing","Test design assistance","Testing;JUnit","6","3","2026-12-27","MO004","FILLED"
"JOB100056","MA501","Probability Theory","Tutorial support","Statistics;Calculus","7","2","2027-01-29","MO003","FILLED"
"JOB100057","MA301","Statistics","Assignment and lab support","Statistics;R","12","4","2026-06-30","MO004","CLOSED"
"JOB100058","MA201","Linear Algebra","Weekly tutorials","Calculus;Statistics","7","3","2026-10-09","MO006","OPEN"
"JOB100059","CS501","Computer Networks","Lab assistant","Linux;C","5","2","2026-12-07","MO001","CLOSED"
"JOB100060","DB301","Distributed Systems","Lab support","SQL;Java","5","2","2026-06-21","MO005","OPEN"
"JOB100061","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","8","1","2026-11-18","MO002","OPEN"
"JOB100062","AI201","Intro to ML","Lab and tutorial support","Python;ML","15","4","2026-07-31","MO002","CLOSED"
"JOB100063","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","12","3","2026-10-01","MO003","OPEN"
"JOB100064","DS201","Data Mining","Lab support","Python;Data Analysis;Pandas","8","3","2026-12-01","MO003","OPEN"
"JOB100065","IS301","Business Analytics","Support analytics labs","SQL;Data Analysis","5","4","2027-01-25","MO003","CLOSED"
"JOB100066","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","4","2","2026-12-29","MO006","OPEN"
"JOB100067","MA301","Statistics","Assignment and lab support","Statistics;R","13","4","2027-03-11","MO003","OPEN"
"JOB100068","MA301","Statistics","Assignment and lab support","Statistics;R","10","2","2026-09-26","MO004","OPEN"
"JOB100069","SE401","Agile Practices","Facilitate workshops","Communication;Testing","15","4","2027-02-06","MO004","OPEN"
"JOB100070","MA401","Numerical Methods","Support computational labs","MATLAB;Statistics","6","2","2026-11-28","MO006","FILLED"
"JOB100071","IS201","Info Systems","Tutorial support","SQL;DB","14","1","2027-03-05","MO005","OPEN"
"JOB100072","CS201","Algorithms","Help with assignments and lab","Algorithms;C","14","1","2026-07-09","MO001","CLOSED"
"JOB100073","DS401","Data Visualization","Tutorial support","Python;R;Data Analysis","5","2","2026-09-27","MO001","OPEN"
"JOB100074","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","4","4","2026-12-09","MO006","FILLED"
"JOB100075","IS201","Info Systems","Tutorial support","SQL;DB","12","4","2027-02-28","MO001","OPEN"
"JOB100076","CS102","Data Structures","Weekly tutorial support","Java;Algorithms","12","3","2026-10-19","MO001","FILLED"
"JOB100077","IS301","Business Analytics","Support analytics labs","SQL;Data Analysis","6","1","2027-01-07","MO001","CLOSED"
"JOB100078","MA301","Statistics","Assignment and lab support","Statistics;R","8","3","2027-02-25","MO003","OPEN"
"JOB100079","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","11","2","2026-12-25","MO006","OPEN"
"JOB100080","AI401","NLP","Assignment support","Python;ML","14","1","2026-07-12","MO001","OPEN"
"JOB100081","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","11","1","2027-03-10","MO006","OPEN"
"JOB100082","CS101","Intro Programming","Support lab sessions and marking","Java","11","4","2026-07-13","MO006","FILLED"
"JOB100083","SE401","Agile Practices","Facilitate workshops","Communication;Testing","12","1","2026-07-19","MO002","FILLED"
"JOB100084","AI301","Deep Learning","Lab supervision","Python;TensorFlow;ML","11","3","2027-03-18","MO001","CLOSED"
"JOB100085","CS401","Compiler Design","Assignment support","C;Algorithms","12","1","2026-10-22","MO002","FILLED"
"JOB100086","SE301","Software Testing","Test design assistance","Testing;JUnit","13","2","2026-09-15","MO006","OPEN"
"JOB100087","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","6","2","2026-11-01","MO005","CLOSED"
"JOB100088","DS201","Data Mining","Lab support","Python;Data Analysis;Pandas","9","4","2027-03-04","MO006","FILLED"
"JOB100089","MA201","Linear Algebra","Weekly tutorials","Calculus;Statistics","12","3","2026-07-11","MO001","FILLED"
"JOB100090","CS601","Software Architecture","Support design sessions","Java;Communication","9","4","2026-07-09","MO003","OPEN"
"JOB100091","CS102","Data Structures","Weekly tutorial support","Java;Algorithms","11","2","2027-01-17","MO003","FILLED"
"JOB100092","DS201","Data Mining","Lab support","Python;Data Analysis;Pandas","14","4","2027-03-27","MO001","OPEN"
"JOB100093","DB401","NoSQL Databases","Tutorial support","SQL;DB","5","3","2026-07-08","MO002","FILLED"
"JOB100094","DS201","Data Mining","Lab support","Python;Data Analysis;Pandas","15","4","2026-08-18","MO003","FILLED"
"JOB100095","CY301","Network Security","Lab supervision","Linux;Python","8","4","2026-06-03","MO003","OPEN"
"JOB100096","DB301","Distributed Systems","Lab support","SQL;Java","6","4","2026-07-15","MO004","OPEN"
"JOB100097","IS301","Business Analytics","Support analytics labs","SQL;Data Analysis","5","3","2026-06-14","MO005","OPEN"
"JOB100098","CS501","Computer Networks","Lab assistant","Linux;C","10","1","2026-11-14","MO003","FILLED"
"JOB100099","DS401","Data Visualization","Tutorial support","Python;R;Data Analysis","15","2","2026-07-14","MO005","OPEN"
"JOB100100","MA401","Numerical Methods","Support computational labs","MATLAB;Statistics","6","3","2026-08-26","MO003","FILLED"
"JOB100101","DB301","Distributed Systems","Lab support","SQL;Java","6","4","2026-07-03","MO003","OPEN"
"JOB100102","DS401","Data Visualization","Tutorial support","Python;R;Data Analysis","9","3","2026-07-10","MO002","OPEN"
"JOB100103","IS201","Info Systems","Tutorial support","SQL;DB","11","1","2026-09-09","MO002","FILLED"
"JOB100104","SE201","Software Engineering","Support project teams","Java;Testing","9","4","2026-12-20","MO003","OPEN"
"JOB100105","WD201","Full Stack Dev","Support project work","JavaScript;Node.js;React","8","3","2026-08-09","MO005","OPEN"
"JOB100106","AI201","Intro to ML","Lab and tutorial support","Python;ML","10","3","2026-08-30","MO003","OPEN"
"JOB100107","IS201","Info Systems","Tutorial support","SQL;DB","9","4","2026-10-03","MO003","CLOSED"
"JOB100108","DS301","Big Data Analytics","Cluster lab assistant","Python;SQL","7","2","2027-03-16","MO006","OPEN"
"JOB100109","CS102","Data Structures","Weekly tutorial support","Java;Algorithms","15","2","2027-01-23","MO004","CLOSED"
"JOB100110","DB401","NoSQL Databases","Tutorial support","SQL;DB","10","4","2026-07-06","MO002","CLOSED"
"JOB100111","SE201","Software Engineering","Support project teams","Java;Testing","15","4","2026-08-18","MO004","OPEN"
"JOB100112","CS401","Compiler Design","Assignment support","C;Algorithms","13","4","2027-02-01","MO005","OPEN"
"JOB100113","IS301","Business Analytics","Support analytics labs","SQL;Data Analysis","12","1","2027-01-01","MO003","CLOSED"
"JOB100114","CS501","Computer Networks","Lab assistant","Linux;C","14","3","2026-10-06","MO002","OPEN"
"JOB100115","CS201","Algorithms","Help with assignments and lab","Algorithms;C","9","4","2026-12-22","MO001","FILLED"
"JOB100116","CS101","Intro Programming","Support lab sessions and marking","Java","12","2","2026-09-22","MO004","OPEN"
"JOB100117","CY301","Network Security","Lab supervision","Linux;Python","15","2","2027-03-29","MO003","OPEN"
"JOB100118","CS102","Data Structures","Weekly tutorial support","Java;Algorithms","10","1","2026-10-30","MO001","OPEN"
"JOB100119","MA301","Statistics","Assignment and lab support","Statistics;R","11","2","2026-11-23","MO005","OPEN"
"JOB100120","CC401","Cloud Computing","Support cloud labs","Docker;Linux","11","4","2026-07-20","MO003","OPEN"
"JOB100121","CS401","Compiler Design","Assignment support","C;Algorithms","4","3","2026-07-29","MO006","OPEN"
"JOB100122","CS601","Software Architecture","Support design sessions","Java;Communication","15","2","2026-08-24","MO005","FILLED"
"JOB100123","MA501","Probability Theory","Tutorial support","Statistics;Calculus","12","4","2026-11-17","MO004","FILLED"
"JOB100124","AI401","NLP","Assignment support","Python;ML","6","4","2026-09-03","MO004","FILLED"
"JOB100125","CS102","Data Structures","Weekly tutorial support","Java;Algorithms","11","4","2026-09-10","MO004","FILLED"
"JOB100126","CS101","Intro Programming","Support lab sessions and marking","Java","8","1","2026-09-14","MO005","FILLED"
